Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2018-01-01,13657.200195,13657.200195,14112.200195,13154.700195,14112.200195,10291200000.0
2018-01-02,14982.099609,14982.099609,15444.599609,13163.599609,13625.0,16846600192.0
2018-01-03,15201.0,15201.0,15572.799805,14844.5,14978.200195,16871900160.0
2018-01-04,15599.200195,15599.200195,15739.700195,14522.200195,15270.700195,21783199744.0
2018-01-05,17429.5,17429.5,17705.199219,15202.799805,15477.200195,23840899072.0
2018-01-06,17527.0,17527.0,17712.400391,16764.599609,17462.099609,18314600448.0
2018-01-07,16477.599609,16477.599609,17579.599609,16087.700195,17527.300781,15866000384.0
2018-01-08,15170.099609,15170.099609,16537.900391,14208.200195,16476.199219,18413899776.0
2018-01-09,14595.400391,14595.400391,15497.5,14424.0,15123.700195,16659999744.0
2018-01-10,14973.299805,14973.299805,14973.299805,13691.200195,14588.5,18500800512.0
2018-01-11,13405.799805,13405.799805,15018.799805,13105.900391,14968.200195,16534099968.0
2018-01-12,13980.599609,13980.599609,14229.900391,13158.099609,13453.900391,12065699840.0
2018-01-13,14360.200195,14360.200195,14659.5,13952.400391,13952.400391,12763599872.0
2018-01-14,13772.0,13772.0,14511.799805,13268.0,14370.799805,11084099584.0
2018-01-15,13819.799805,13819.799805,14445.5,13641.700195,13767.299805,12750799872.0
2018-01-16,11490.5,11490.5,13843.099609,10194.900391,13836.099609,18853799936.0
2018-01-17,11188.599609,11188.599609,11678.0,9402.290039,11431.099609,18830600192.0
2018-01-18,11474.900391,11474.900391,12107.299805,10942.5,11198.799805,15020399616.0
2018-01-19,11607.400391,11607.400391,11992.799805,11172.099609,11429.799805,10740400128.0
2018-01-20,12899.200195,12899.200195,13103.0,11656.200195,11656.200195,11801700352.0
2018-01-21,11600.099609,11600.099609,12895.900391,11288.200195,12889.200195,9935179776.0
2018-01-22,10931.400391,10931.400391,11966.400391,10240.200195,11633.099609,10537400320.0
2018-01-23,10868.400391,10868.400391,11377.599609,10129.700195,10944.5,9660609536.0
2018-01-24,11359.400391,11359.400391,11501.400391,10639.799805,10903.400391,9940989952.0
2018-01-25,11259.400391,11259.400391,11785.700195,11057.400391,11421.700195,8873169920.0
2018-01-26,11171.400391,11171.400391,11656.700195,10470.299805,11256.0,9746199552.0
2018-01-27,11440.700195,11440.700195,11614.900391,10989.200195,11174.900391,7583269888.0
2018-01-28,11786.299805,11786.299805,12040.299805,11475.299805,11475.299805,8350360064.0
